time	V(input)
4.165023821383976e-03	4.304091e-02
4.191322992460068e-03	4.664022e-02
4.221002297416713e-03	4.917239e-02
4.238591594024332e-03	4.987160e-02
4.260753569967556e-03	4.988591e-02
4.282505097437751e-03	4.896082e-02
4.317786963232114e-03	4.553299e-02
4.374102662057405e-03	3.555411e-02
4.459413541650010e-03	1.261286e-02
4.557069791650010e-03	-1.754725e-02
4.628420414042598e-03	-3.610694e-02
4.666706764488433e-03	-4.330757e-02
4.693189071531430e-03	-4.684828e-02
4.712503514037729e-03	-4.861875e-02
4.728035008372093e-03	-4.952459e-02
4.744730501309289e-03	-4.997260e-02
4.763040820099760e-03	-4.983225e-02
4.786225443500680e-03	-4.871041e-02
4.823790539101955e-03	-4.472154e-02
4.883511185084873e-03	-3.341499e-02
4.894684836314714e-03	-3.072353e-02
4.917032138774394e-03	-2.490050e-02
4.922618964389314e-03	-2.336345e-02
4.933792615619155e-03	-2.020493e-02
4.936189931247594e-03	-1.951376e-02
4.940984562504473e-03	-1.811829e-02
4.941912018801451e-03	-1.784642e-02
4.943766931395408e-03	-1.730086e-02
4.944924487846299e-03	-1.695921e-02
4.945983704851453e-03	-1.664580e-02
4.946945937841118e-03	-1.636045e-02
4.948032596412189e-03	-1.603748e-02
4.949040230044869e-03	-1.573733e-02
4.950068775721546e-03	-1.543030e-02
4.951888015865583e-03	-1.488567e-02
4.953821283077609e-03	-1.430477e-02
4.956072032181511e-03	-1.362582e-02
4.958457447162951e-03	-1.290329e-02
4.960878356570037e-03	-1.216703e-02
4.962681215921661e-03	-1.161690e-02
4.963418923992094e-03	-1.139136e-02
4.963441977369296e-03	-1.138431e-02
4.963488084123698e-03	-1.137021e-02
4.963580297632502e-03	-1.134199e-02
4.963598592941634e-03	-1.133640e-02
4.963616888250765e-03	-1.133080e-02
4.963635183559897e-03	-1.132520e-02
4.963653478869027e-03	-1.131960e-02
4.963671774178158e-03	-1.131400e-02
4.963690069487290e-03	-1.130840e-02
4.963708364796421e-03	-1.130281e-02
4.963730002095288e-03	-1.129618e-02
4.963773276693020e-03	-1.128294e-02
4.963820725471261e-03	-1.126842e-02
4.963869615244641e-03	-1.125345e-02
4.963895329014166e-03	-1.124558e-02
4.963929557849531e-03	-1.123510e-02
4.963960940028376e-03	-1.122550e-02
4.964000418739126e-03	-1.121341e-02
4.964042632826665e-03	-1.120049e-02
4.964101772220785e-03	-1.118238e-02
4.964169872899672e-03	-1.116152e-02
4.964259368233546e-03	-1.113412e-02
4.964376909648029e-03	-1.109811e-02
4.964532133261308e-03	-1.105056e-02
4.964746618461091e-03	-1.098483e-02
4.965045579514504e-03	-1.089319e-02
4.965479082203703e-03	-1.076023e-02
4.965819589342418e-03	-1.065574e-02
4.966009467098532e-03	-1.059745e-02
4.966125825890804e-03	-1.056172e-02
4.966200298444995e-03	-1.053885e-02
4.966258279949387e-03	-1.052104e-02
4.966303674313726e-03	-1.050710e-02
4.966340226313137e-03	-1.049588e-02
4.966370031081162e-03	-1.048672e-02
4.966395359328655e-03	-1.047894e-02
4.966418720583458e-03	-1.047176e-02
4.966445224741448e-03	-1.046362e-02
4.966470944129796e-03	-1.045572e-02
4.966522382906490e-03	-1.043992e-02
4.966568922070245e-03	-1.042562e-02
4.966617880436741e-03	-1.041058e-02
4.966703698834772e-03	-1.038420e-02
4.966850018139157e-03	-1.033923e-02
4.967091222156738e-03	-1.026508e-02
4.967573630191902e-03	-1.011671e-02
4.968402661101144e-03	-9.861516e-03
4.969177594204426e-03	-9.622729e-03
4.969915098388747e-03	-9.395265e-03
4.970703524011765e-03	-9.151871e-03
4.971518180996433e-03	-8.900144e-03
4.972400901437340e-03	-8.627122e-03
4.973343844899043e-03	-8.335182e-03
4.974395430572156e-03	-8.009259e-03
4.975585949348800e-03	-7.639856e-03
4.976968377205794e-03	-7.210370e-03
4.978645520352208e-03	-6.688597e-03
4.980687504935544e-03	-6.052321e-03
4.983454846938910e-03	-5.188456e-03
4.987750603666242e-03	-3.844463e-03
4.996198289907868e-03	-1.194229e-03
5.007151901324019e-03	2.246080e-03
5.017444872396266e-03	5.469501e-03
5.028222578506881e-03	8.819990e-03
5.039450558777624e-03	1.226723e-02
5.052496372728966e-03	1.619479e-02
5.066968768893699e-03	2.042350e-02
5.084318907107021e-03	2.526766e-02
5.104790336407020e-03	3.059328e-02
5.131135870335456e-03	3.669178e-02
5.165459637468444e-03	4.311043e-02
5.202118170190040e-03	4.775424e-02
5.219159169659488e-03	4.906418e-02
5.236195515189426e-03	4.981204e-02
5.257385680900258e-03	4.994617e-02
5.277024575692368e-03	4.928093e-02
5.308923139658205e-03	4.661230e-02
5.360105659803523e-03	3.850450e-02
5.438899197570621e-03	1.872733e-02
5.536555447570621e-03	-1.138352e-02
5.618057355178511e-03	-3.377993e-02
5.659878126300674e-03	-4.219587e-02
5.688330083220079e-03	-4.629314e-02
5.708909133716106e-03	-4.834279e-02
5.724260104742362e-03	-4.934752e-02
5.742377345625917e-03	-4.994266e-02
5.762164969753591e-03	-4.985401e-02
5.784801005304404e-03	-4.880944e-02
5.821493291546653e-03	-4.503962e-02
5.879918299633401e-03	-3.424606e-02
5.967780012330927e-03	-1.005321e-02
6.065436262330927e-03	1.998310e-02
6.132368331048828e-03	3.695370e-02
6.169347724949825e-03	4.371624e-02
6.195082663157906e-03	4.705283e-02
6.213909707216092e-03	4.871997e-02
6.229784357663088e-03	4.959720e-02
6.245120548172519e-03	4.997650e-02
6.263185917910349e-03	4.982850e-02
6.286461399670219e-03	4.869363e-02
6.324170902276168e-03	4.466797e-02
6.384105179661787e-03	3.327594e-02
6.473743292192299e-03	8.211421e-03
6.558241606898233e-03	-1.789149e-02
6.616839703066099e-03	-3.349691e-02
6.665886930186043e-03	-4.317827e-02
6.696991642509642e-03	-4.725229e-02
6.715330278529426e-03	-4.881837e-02
6.731550463871803e-03	-4.966443e-02
6.747585995495329e-03	-4.999425e-02
6.764102701102440e-03	-4.980383e-02
6.787952098435425e-03	-4.858514e-02
6.826572753438630e-03	-4.432384e-02
6.887850056299861e-03	-3.238870e-02
6.938982853711667e-03	-1.870296e-02
6.982831262996218e-03	-5.383263e-03
7.026679518094101e-03	8.342418e-03
7.082819701391000e-03	2.486013e-02
7.144278300862939e-03	3.936838e-02
7.180939323916789e-03	4.536621e-02
7.203482974675397e-03	4.787954e-02
7.220181783257232e-03	4.912503e-02
7.237430597283686e-03	4.984415e-02
7.260319978695990e-03	4.989493e-02
7.281799669644374e-03	4.900528e-02
7.316647316303312e-03	4.567974e-02
7.372309873249339e-03	3.594786e-02
7.456815315790183e-03	1.340101e-02
7.509631935126661e-03	-3.024115e-03
7.552794924585561e-03	-1.628350e-02
7.596184807576587e-03	-2.841124e-02
7.641440645777874e-03	-3.881257e-02
7.686387868393585e-03	-4.605915e-02
7.707478250066665e-03	-4.822607e-02
7.723182754968761e-03	-4.929189e-02
7.741067445634732e-03	-4.992127e-02
7.761676988972650e-03	-4.986549e-02
7.784007276948649e-03	-4.886292e-02
7.820212456224742e-03	-4.521289e-02
7.877911132938028e-03	-3.470277e-02
7.947917422714605e-03	-1.607175e-02
7.997399302554734e-03	-8.169968e-04
8.001416902861878e-03	4.451273e-04
8.009452103476169e-03	2.967721e-03
8.025522504704750e-03	7.983809e-03
8.044481435840297e-03	1.379304e-02
8.045184625550008e-03	1.400524e-02
8.046591004969430e-03	1.442883e-02
8.048772387197260e-03	1.508360e-02
8.049801621491433e-03	1.539157e-02
8.050518560344475e-03	1.560570e-02
8.051006224747699e-03	1.575118e-02
8.051402951153011e-03	1.586942e-02
8.051738980725386e-03	1.596950e-02
8.052049116252069e-03	1.606179e-02
8.052334744896250e-03	1.614675e-02
8.052605186673461e-03	1.622713e-02
8.052901459967182e-03	1.631514e-02
8.053172536533447e-03	1.639562e-02
8.053480522457459e-03	1.648699e-02
8.053843577786102e-03	1.659463e-02
8.054245371288489e-03	1.671365e-02
8.054690210427701e-03	1.684530e-02
8.055345193361060e-03	1.703889e-02
8.056101617910757e-03	1.726211e-02
8.057014249166284e-03	1.753091e-02
8.058372094485403e-03	1.792976e-02
8.060238208630506e-03	1.847579e-02
8.060983015040034e-03	1.869301e-02
8.061339792205992e-03	1.879692e-02
8.061339808452837e-03	1.879693e-02
8.061339840946525e-03	1.879694e-02
8.061339905933903e-03	1.879695e-02
8.061340035908658e-03	1.879699e-02
8.061340295858168e-03	1.879707e-02
8.061340815757189e-03	1.879722e-02
8.061348094343479e-03	1.879934e-02
8.061356412727809e-03	1.880176e-02
8.061373049496471e-03	1.880660e-02
8.061406323033794e-03	1.881629e-02
8.061440793697855e-03	1.882632e-02
8.061478558664367e-03	1.883731e-02
8.061518914098377e-03	1.884905e-02
8.061559810814608e-03	1.886095e-02
8.061605743404214e-03	1.887432e-02
8.061660228111183e-03	1.889017e-02
8.061723680834305e-03	1.890862e-02
8.061801469648572e-03	1.893124e-02
